score
4
2
3
1
9
9
15366
4
9
0
64
1
1
1
18
76
6
3
19
428
5
26
1
25
0
0
0
0
14
32
7
1
4
42
11
0
230
1878
2
1
5
332
1
100
1
0
1
5
1
4
5
27
2
0
52
31
193
14
26
72
5
42
80
12
1
27
68
2
9
178
7
1
8
0
82
1
1143
1
25
7
4
1
0
20
1
2
2
8
2
2
23
4
6
0
66
12
9
318
11
74
6
4
9
1
4
2
12
12
2
55
13
1
3
6
2
0
1
1
6
3
9
2
11
75
1
69
2
10
14
18
2
1
6
3
0
45
26
61
18
4
0
2
6
37
2
8
2
2
17
41
4
2
3
10
13
8
40
1
0
1
30
9
0
15
9
1
4
1
6
1
0
0
1
11
3
2
100
864
200
18
10
14
17
29
74
2
387
2
15
9
48
35
25
217
53
33
0
5189
2
3
207
0
314
4
1961
2
1
8
60
0
1
50
78
23
0
3
1
2
1
0
188
10
1
0
0
12
0
405
24
4
0
30
1
2
1
2
1
3
17
9
5
5
0
2
5
23
0
1
247
0
1
0
67
6
76
1
5
2
311
2
1
3
6
4
0
0
57
69
0
8
20
4
13
57
18
2
11
144
48
0
0
7
5
4
3
1
349
0
0
59
2
2
120
7
2
6
3
1
9
17
5
411
0
2
31
2
11
0
19
31
7
8
3
28
8
3
0
2
1
13
12
2
13
0
98
16
0
0
4
10
438
16
41
3
0
24
0
946
57
2
0
2
2
9
286
0
3
67
113
1
4
0
4
1
20
10
0
1
57
3
1
3
0
5
62
3
8
1123
5
4
12
1
0
222
0
1824
5
54
0
4
0
1
73
0
1
1
13
2
40
0
0
9
8
25
1472
84
6
43
18
9
0
15
6
0
1
4
2
5
13
0
5
10
38
1
1
31
6
2
4890
94
1
3
759
881
0
11
2
43
175
197
2
151
0
3
1
1
43
2
11
8
2
2
0
154
3
7
4
3
8
14
13
2
0
0
21
9
12
27
20
10
1
8
1
11
0
14
35
1
3
11
8
20
3
0
2
13
0
7
5
33
67
1
9
11
24
0
12
0
6
26
26
0
5
37
0
0
47
15
10
3
15
3
18
18
13
98
162
20
33
2
35
74
87
5
343
20
4
4
1
335
7
0
96
44
0
0
3
11
8
3
33
0
10
1
12
1
0
2
27
0
231
74
15
3998
12
94
2
0
7
0
39
5
0
3
18
0
0
4
3
2
3
13
26
12
0
0
1
2
205
4
43
3
19
0
1
1
24
40
80
0
128
22
3
0
14
27
0
2
6
0
11
2
7
0
155
19
0
2
26
138
738
7
0
4
1
9
4
6
12
4
3
815
2
173
1
2
0
0
3
0
3
9
0
33
15
17
0
0
8
12
2
7
96
3
19
3
1
10
3
3
8
3
5
4
15
2
3
3
11
22
6
4
2
2
28
1
4
14
7
679
7
20
1
0
17
78
55
5
3
3
2
47
0
63
0
252
3
0
0
13
2
1
0
4
7
0
13
1227
2
25
0
12
2
0
0
0
1
199
54
12
1
96
0
8
1
3
0
6
1
15
9
27
30
2
45
1
20
7
20
2
20
12
3
0
61
12
4
3
0
4
0
130
7
0
34
2
1
7
23
5
2
4
1
1
23
1
17
1
27
1
1
1
3
23
24
120
13
2
11
103
0
8
9
32
0
13
3
2
38
1
11
20
11
29
0
13
4617
8
0
2
685
5
1
10
0
6
12
24
1
1
0
1
0
2
13
2
0
210
5
0
1
1
3
12
0
3
28
2
2
14
2
6
41
1
2
1
10
7
1
26
11
10
4
0
21
1
3
4
15
14
2
0
5
152
1
839
17
39
1
6
3
7
2
20
1
59
33
2
59
99
1
0
2
2
1
2
2
0
1
4
0
1
12
11
0
31
13
1
4
7
0
4
2
1
0
5
12
10
30
15
19
3
232
0
2
37
73
3
7
0
0
419
0
1
49
892
1
13
389
28
0
5
1
1
0
1
14
0
7
160
1
0
27
11
3
2
0
47
3
25
47
97
9
1
11
263
0
4
33
1
56
469
0
3
0
2
3
0
41
140
17
8
8
0
2
15
2
2
140
5
