,score
34127,0
27629,86
29659,2
35982,49
3933,16
13067,0
1493,17
1061,1
460,1
34857,4
7176,16
11756,0
6739,0
33112,12
22491,2
7025,3
2927,44
211,1
33028,0
36412,3
18977,4
1702,2
18287,4
14420,44
8753,1
20433,590
610,2
30132,0
32759,0
182,2
32879,6
18967,2
11120,23
19397,13
29365,0
21686,1210
4445,22
18833,1
9743,4
6519,0
14009,8
5022,1
297,26
25441,8
35308,6
9485,1
11428,7
15324,5
20696,59
8216,1
28525,0
33739,17
30011,0
35137,2
32264,0
6938,5
25639,27
7067,11
8210,47
23631,0
13766,6
18651,1
8079,1
7329,1
6944,6
29018,1
22477,26
3725,13
4678,15
29804,3
19347,4
29131,1
35515,0
13763,34
1473,27
34865,200
20686,0
437,250
23817,4
19797,7
32469,1
16348,2
14988,0
3523,13
31661,0
29644,0
30539,1
8465,5
4589,34
29293,7
14797,5
21930,5
1385,20
15624,3
18740,3
10577,335
22095,5
14766,10
26752,5
11802,443
27879,2
30537,2
1724,28
11818,0
23976,8
8016,2
9140,2
26089,19
26323,0
2773,41
14038,17
8777,6
16372,2
3895,8
22766,18
6792,8
34790,6
35717,2
32620,6
12072,3
14242,14
29245,3
30174,3
11295,0
2875,4
22352,3
14535,0
4198,1
13765,0
26715,0
16216,2
32997,4
34966,6
28479,4
35048,1
5272,2
29898,4
1038,16
14805,1
11980,188
3279,13
15846,3
20408,0
16501,0
19648,11
10166,8
23266,289
32488,5
21063,0
13468,70
28376,18
26399,54
6774,0
5685,4
5978,1
16867,3
22651,171
10219,7
7518,0
34974,4
29231,1
19189,0
28969,2
29700,5
20400,190
13879,4
26199,117
19714,66
32579,330
21709,2
32715,1016
24790,10
5553,2
24121,229
32936,51
3240,29
13055,1
10616,4
35372,3
12740,62
23824,24
4417,0
23147,3
4305,45
31390,1
28735,1
5690,2
16019,1
22737,293
24245,12
19272,159
1261,1
22011,8988
36308,0
27438,1
16434,3
16437,1
7151,2
25495,7
16540,2
15774,2
7938,4
26299,0
34324,1
3768,75
9238,5
23018,16
26775,23
30363,0
13303,335
18242,1
14342,0
8495,763
6744,1
6770,2
17618,2
10212,8
31368,2
3471,40
26063,223
4260,12
21990,5
26075,0
1394,13
31488,1
34904,2
36081,2
16874,3
26310,308
6751,15
26288,978
3299,3
1145,2
33860,1
5727,1
571,3
24793,81
31833,1
24998,194
26263,6
2974,12
12981,347
894,2
14476,2
2426,3
23776,0
33653,0
816,15
25707,19
27163,9
1833,39
11849,4
12749,3
6987,1
25092,7
12130,8
35824,0
23517,160
26907,24
29948,0
320,1
27118,864
17794,4
13647,28
25912,31
25602,16
35364,1
22065,41
12739,4
27678,15
21872,9
24262,0
23967,9
739,5
27112,8
14270,0
30884,109
878,23
17468,1
25152,0
29751,1
26930,5
10202,208
19751,79
6794,9
18598,1
19365,332
3968,17
13781,21
2709,13
27742,5
2689,40
19275,11
2054,77
26792,7
34625,4
8812,443
20085,12
20150,419
23988,33
31982,1
35102,8
30426,2
1034,4
5073,4
16184,1
2264,18
17328,1
8235,9
24111,253
9575,17
30695,0
1770,2
