,score
3504,13
8409,1
13804,1662
1992,2
30211,1
3023,2
10260,1
25537,10
15149,21
18912,2
23007,44
20875,0
31683,0
19666,29
14966,0
35780,2
20656,72
35883,4
2138,9
17240,1
25001,5
31159,0
26156,13
14360,46
23170,49
28466,10
27358,96
21216,0
9121,2
18100,5
9219,4
30432,1
20331,94
28663,10
29254,3
26544,408
29187,3
12972,10
34455,67
34250,265
28036,5
34769,5
30971,7
3343,29
3432,5
25427,197
21132,76
2622,19
17421,1
29368,5
5478,20
15592,4
18662,0
2708,1
33221,25
13882,3
6008,3
8354,8
35839,6
1811,59
20422,22
12642,6
27033,412
3034,21
31481,1
36396,30
16860,1
31915,16
26856,8
6698,0
1391,9
4058,11
14876,52
19951,337
28537,1
10937,0
28913,1
24791,8
22013,0
21756,16
22497,227
12020,0
8957,0
14,2
20073,97
13535,60
8920,4
15761,6
34960,20
13570,2
19119,472
26642,18
31093,4
8560,17
26480,11
33506,42
27160,21
26254,3
32700,5
476,5
29914,2
18584,1
18578,0
13086,67
28570,0
26312,102
25833,48
2089,4
29577,1
17949,0
16942,1
1764,36
4283,1
12622,3
9842,7
36489,8
28607,3
24760,99
27766,23
13371,8
34800,147
21605,1169
18948,1
17918,10
901,3
2315,1
30563,6
15876,3
12440,57
19876,12
33031,13
30921,0
10599,0
10561,8
16582,4
12785,52
22336,41
26335,3
19550,245
25015,6
25908,1
3759,2
2626,0
9699,2
5405,3
1390,7
23480,868
27594,60
2005,15
7674,5
20402,151
31827,1
27352,15
5711,4
28856,1
28355,29
25390,8
30915,0
845,3
22017,155
33788,8
343,17
21560,14
20410,45
8752,1
30190,1
23261,0
33269,12
35673,21
28443,38
26849,330
32355,2
13600,59
13415,20
5583,0
4608,0
4111,10
30997,0
3459,11
11124,2
18221,6
31041,1
28132,817
23211,355
10363,2
35896,0
15247,7
4318,11
12065,0
15994,1
20010,22
6304,0
34691,15
27538,38
5204,4
2612,2
34288,7
26821,38
9687,15
25026,152
6361,14
8826,5
30628,1
21052,9
16067,1
6634,1
33792,10
11619,23
3659,2
23173,17
24224,17
20709,377
5191,0
11336,1
31395,0
17543,1
13260,11
25668,2
10679,2
20034,153
22091,168
18881,2
3069,1
7361,1
35921,12
3571,23
32970,0
28117,7
9951,0
17463,5
20088,856
10310,50
33849,13
21420,278
20884,563
9385,273
23851,11
32738,4
30204,8
10992,0
27384,35
32978,3
34663,10
32685,0
9321,58
10544,96
35395,2
29087,1
36055,6
6722,0
838,6
29863,0
4478,32
36075,5
20072,3
23803,43
10670,7
2967,23
12867,7
7996,4
22063,301
6733,2
3807,3
26193,401
26720,7
18124,6
2212,11
25386,14
22267,91
23581,161
11751,14
5644,7
23293,1
7641,0
14065,7
1849,12
3091,15
3964,7
28345,4
653,0
22242,22
16454,7
22137,5
7946,2
2164,1
2362,48
30077,1
8778,3
8010,0
18256,8
27459,1
20369,0
26052,0
30457,0
19820,7
26845,123
7154,2
12404,210
17477,1
6669,1
4310,105
21737,329
30069,2
19830,3
27778,661
14753,2
9378,6
1678,6
6633,3
4365,19
36151,1
1326,19
33594,0
33399,5
1867,0
10678,28
2764,1
24319,4
13308,748
24169,5
4848,6
24597,53
30792,3
15586,1
10590,305
35497,1
15272,0
19532,18
17492,2
19964,8
2797,21
4651,25
24965,3
14883,1
1677,9
8197,6
32869,12
30654,2
4162,38
33524,182
17196,2
33232,9
13615,51
14763,0
1485,5
12595,5
7501,2
14631,5
34091,2
34116,1
3930,7
15546,1
36230,5
9110,3
20048,0
252,3
26666,52
18791,1
17037,2
9268,4
34209,16
4502,3
30516,1
633,28
12931,20
3433,7
35726,7
31768,0
31173,1
28897,1
35422,10
23426,0
19733,20
35864,17
23932,12
8891,6
7288,3
32201,0
29556,1
15891,31
4801,7
17552,3
14450,4
5985,1
26986,5
15868,3
8119,6
34761,24
15123,3
8889,0
24668,22
8454,4
24009,9
2625,12
29530,4
23213,52
12922,0
34822,3
31010,2
11196,19
36084,37
30584,2
5207,6
14558,697
28921,3
24257,37
8140,2
26878,24
17084,3
8147,1
10027,2
20416,10
10539,2
29977,1
17835,37
8938,6
34634,2
8710,17
24049,17
1428,4
28949,9
26730,164
35576,53
13037,8
14072,901
26980,25
27885,0
19583,0
21062,29
34068,2
3407,22
19208,0
27326,2
602,5
17974,2
3188,6
34572,42
5557,1
31358,1
6438,0
8746,3
12506,7
15687,9
13568,5
11171,15
25550,212
9614,1
25851,1
25057,10
21237,23
133,3
7522,2
22277,21
23771,64
20413,38
10788,2722
2283,3
10567,1059
13074,0
35068,4
35191,1
18237,1
31471,1
24697,9
16279,3
17712,1
15766,2
10167,3
12485,11
6410,0
25749,15
12046,777
4186,2
32544,0
11091,11
35209,1
32904,0
31454,0
7942,6
33246,8
32896,3
32271,1
14726,0
32109,2
24828,10
18014,0
28523,5
14758,9
28716,1
417,9
6563,0
31001,7
1896,18
16639,8
16297,2
24749,5
4642,0
32136,1
1041,32
9508,0
36526,6
21342,38
6373,0
26500,3
6841,4
18486,1
9615,270
34255,77
8044,20
31062,1
7299,6
2407,6
33926,2
16533,1
19554,299
6406,2
21107,96
24229,37
21142,250
28365,20
1080,0
12919,3
22150,68
5121,2
24897,14
1753,17
36258,1
33060,2
17955,0
33165,5
33753,5
27949,146
23724,50
2443,9
36407,6
31623,0
14124,0
33670,0
13304,0
31931,1
4773,0
5155,9
9023,12
27975,3
17983,0
35743,5
1450,29
35926,1
25532,56
26670,28
36277,38
11294,1
26483,0
1703,9
5076,1
23881,3
4411,0
6416,4
9836,5
13881,21
2450,3
32158,3
28715,14
7387,8
25795,10
28278,0
2032,3
8927,0
21045,137
34922,805
18113,0
15911,10
17074,0
21310,40
15803,2
8432,2
14544,7
22866,3
32774,0
9992,48
30410,1
27763,1292
5972,28
4441,11
9442,3
17786,1
4332,1
31170,0
4992,7
34174,7
8209,8
7789,1
15418,3
9630,2
31277,12
22656,33
21549,1
35519,6
33361,9
31114,1
23556,0
33563,2
18959,1
8128,4
34626,0
15882,1
13249,1090
10784,11
29510,1
15729,6
6926,30
32928,109
5641,5
2492,9
15898,2
1138,33
15979,2
25490,35
29558,9
22466,49
19414,0
32874,3
12495,255
1741,0
21245,8
30795,1
18944,0
5068,0
3133,1
32894,2
29807,0
14849,18
2027,6
2570,6
6732,17
29252,1
1518,3
15239,3
18182,1
16170,1
12524,22
21085,2
8811,1
18526,1
13076,3
19266,19
16098,0
3820,1
24768,42
23684,13
9832,0
13819,0
18337,5
30289,0
29426,5
29101,1
29710,1
10871,8
8969,4
12555,11
7769,6
13441,4
6970,66
28238,332
24139,0
12858,6
28787,11
29649,3
14292,763
7842,4
10413,6
33824,49
802,0
28559,1
27562,15
1298,2404
16597,4
1316,7
24969,699
1881,17
31747,3
6225,0
26425,13
11855,7
7249,4
23476,24
30341,1
32446,1
35731,1
8018,5
24094,26
15892,4
24548,20
1117,13
13899,8
26690,2
35459,3
27433,5
2858,61
26819,7
9553,2
17866,1
18017,1
16485,2
29582,0
28490,3
12407,1561
10569,0
36327,9
7614,1
23611,124
10069,44
34359,14
8592,5
14141,5
4794,11
3424,7
33957,2
13127,12
6100,4
29857,0
32253,2
32380,6
21005,43
20260,77
30482,0
22938,92
32378,1
9445,9
2910,931
20697,1
8331,1
28216,11
19482,1297
23609,37
35830,0
21802,886
21001,0
27019,508
3837,13
34934,8
1617,33
32521,0
31873,0
27037,7
13997,5
25240,12
28632,39
423,5
33312,3
14658,3
21528,21
4096,14
32288,1
34545,8
29489,1
26026,306
2527,10
23878,5
23934,1
2955,2
30267,0
7179,21
32628,25
16201,38
11287,0
19152,0
9752,0
9817,2
3601,7
29190,0
9467,1
11527,1278
29172,4
36162,3
28003,322
18509,3
26645,2
501,7
5017,0
9745,8
23182,722
30845,2
29996,0
26644,1112
31521,2
26641,9
5006,0
18389,7
7439,0
10800,3
27314,12
21809,8
10546,39
27674,129
34460,6
19456,0
36369,2
1913,24
18636,0
23355,45
22900,3231
21408,25
13498,54
12089,71
6696,1
992,26
12358,0
29966,3
4522,1
28384,0
27098,704
33635,4
30941,18
13660,18
22527,27
16086,5
25860,1724
1136,14
34074,9
3140,3
3263,0
34590,0
29522,1
10473,22
27637,1
24933,646
12941,0
4505,1
9667,2
7679,0
14017,15
18724,2
23399,44
7495,2
16532,15
27725,10
8319,1
3311,34
28063,33
19315,0
7413,0
23756,8
15676,3
14322,25
23396,5
10441,74
8185,3
16013,1
15812,1
3638,16
19873,213
2234,5
10444,3
25528,370
9313,121
29707,25
27470,10
30192,5
32476,1
21671,10
35580,0
2985,1
16962,1
6139,3
13192,121
33250,5
28765,10
6405,0
6869,5
4388,5
17580,77
15595,3
33223,1
11941,12
8338,2
17287,1
16724,1
33736,24
10620,4
34308,41
10160,0
10358,61
5019,9
1487,2
26809,21
31763,0
10836,7
22214,92
19139,57
7771,39
16188,1
17935,1
5042,2
23291,7
35586,1
26553,29
28293,0
7714,3
860,1
23429,33
28743,60
17660,5
23692,15
24868,0
10968,44
31778,0
7069,7
5787,0
7759,1
28950,3
33812,89
16463,2
21475,24
31394,1
15018,0
30663,0
14541,268
2954,12
13220,2
762,3
14144,45
4948,1578
28677,4
4635,10
28572,0
26198,0
26148,0
15381,14
12593,0
27549,33
32564,6
15632,2
13784,421
19860,1
692,6
32016,1
7251,2
2506,19
33215,0
24728,0
6934,7
929,15
1554,16
35725,7
12320,39
25461,6
9790,1
29099,2
2904,3
27647,881
18297,2
5694,5
6012,0
4087,16
22595,14
17337,2
26971,2808
3350,1
11777,73
26626,12
22416,105
35940,13
9416,12
32140,1
30210,0
8521,1
21241,44
34281,2
4766,0
723,19
18089,3
13358,0
13880,142
17212,1
15572,1
32692,4
35679,1
6768,4
12527,5
27012,14
34011,3
15226,7
16719,1
29923,1
32281,0
24740,34
15801,1
22205,4
26487,5
31776,0
28171,29
35011,21
22501,79
3229,14
26712,96
7850,0
33665,15
14803,5
17231,2
25899,116
2279,3
7315,0
26677,172
27518,0
24104,5966
30324,0
32045,0
6079,0
33772,43
14930,405
33603,75
32381,0
27967,4
7264,23
27961,0
2187,13
13423,2
17048,1
28158,65
16356,1
13733,5
28885,1
21012,5
3330,50
9860,2
15831,2
9665,44
24195,12
27132,3
34643,3
15453,1
14045,26
3357,1
32301,1
12810,741
15492,2
33686,4
29755,9
870,27
23227,936
6187,23
13696,9
31509,13
8888,13
3500,1
35351,6
29372,3
31731,1
26861,5
35055,1
36042,9
6993,3
5888,19
11882,2
3476,3
20476,127
23713,88
12368,0
4370,26
32462,1
33777,5
24779,13
8253,2
24335,3
21625,25
9022,2
4781,3
11576,46
5342,2
30291,0
2483,8
33897,1
451,8
29317,1
9953,18
2884,14
22685,320
33148,0
13135,3
30722,1
19569,5
31535,0
22714,9
29900,2
8545,3
30052,1
21323,5878
27950,0
6221,0
9324,0
33307,0
27990,272
5607,3
28483,9
15271,1
235,0
13346,12
35988,0
33707,6
20138,0
24699,42
20418,41
15605,2
29680,2
14807,25
14546,11
35557,15
7552,5
31094,1
356,10
21603,18
15848,2
6668,31
16420,3
12429,5
7220,60
17893,3
28853,1
28820,0
6089,0
28152,8
32584,40
23683,4116
13538,0
6220,3
31102,1
5880,0
6087,1
25030,2341
21466,0
15405,1
2404,5
9039,0
7717,4
12837,0
15857,2
12299,39
9156,12
11915,10
33870,1
32335,3
20095,802
24069,0
16621,82
7565,64
32126,0
28918,1
9230,1
32845,1
19842,13
19604,0
28176,15
11516,74
769,1
25267,23
23633,46
35027,3
27350,3
24161,28
5885,3
2396,11
19699,99
30054,1
1964,0
5850,8
3527,98
15975,5
8663,2
28012,6
32418,1
26998,390
34300,14
34447,7
36204,1
7638,22
17532,2
19024,240
14566,8
14039,0
27565,446
13280,0
3998,3
29132,1
15675,4
28804,1
26689,12
14645,24
13181,3
30786,7
23643,84
1747,6
24075,20
33071,6
5485,2
15244,1
35588,9
28710,1
985,6
2070,1
7205,4
7352,15
17878,2
12136,31
14935,3
13738,13
9887,3
3855,0
15246,2
14113,142
16822,1
5909,0
32858,11
19192,657
1935,12
27419,4
16178,3
14854,0
14161,36
7039,74
7752,5
9726,0
34873,34
30761,5
25955,556
32787,63
19476,0
29248,3
9292,1
16836,2
26412,56
29805,0
5340,108
31103,1
4884,2
5358,4
31424,1
35845,8
5858,4
12311,10
16468,13
17034,1
8942,10
11912,4
29059,1
30434,17
17116,2
686,448
4968,71
27993,1598
31892,9
9767,1
31960,1
10877,4
16603,4
9014,53
21776,22
32646,2
34220,0
15292,30
25159,4
31249,1
26699,18
10001,60
27490,2680
16675,5
9963,10
35462,15
16056,1
35192,1
15531,2
17047,1
26045,0
11063,0
14074,56
8160,0
791,13
11145,9
15980,0
13950,4
23442,17
9616,36
34218,2
458,1
16556,1
23982,1081
18741,0
5421,8
7586,5
32003,1
35943,0
17437,2
18262,3
11986,150
11921,10
7087,0
25094,7
25425,0
11655,0
29164,0
9381,4
17217,4
6953,2
14549,9
32506,1
7909,5
33147,64
289,7
15459,0
32385,0
32055,3
16610,2
433,1
29960,0
21967,12
29899,1
6453,2
13821,6
4739,3
27957,7
12029,77
32282,1
30711,2
17354,5
22323,34
14942,37
6328,0
517,34
21248,26
20424,290
8991,0
27614,1
35708,3
11103,0
1930,7
6694,4
10324,31
14122,6
20763,7
15004,3
2638,0
19373,27
15900,1
19362,12
174,2
4265,1
24268,0
36199,8
32546,0
6381,7
55,5
30564,0
18611,2
27061,22
24147,41
35898,0
14857,13
4165,5
17028,2
18420,2
24208,225
26290,20
1465,2
18329,7
1054,44
33559,50
29413,1
30173,3
29705,1
32831,63
16708,1
34926,9
14330,12
8307,7
22680,299
6925,5
21655,10
5552,22
29030,1
20429,566
30423,8
6208,1
34504,3
8358,27
7604,1
19960,15
27302,6
21109,5
30280,0
31916,2
155,1
10008,16
20856,34
7277,12
27994,6
4721,1
30287,1
27740,40
29493,0
25741,16
15798,0
31489,2
134,45
17237,1
10598,121
10548,13
16969,0
13123,27
30355,31
28163,1
34271,261
4192,3
35175,12
20511,1
33763,98
25504,0
6525,0
2180,3
31457,11
14227,7
8258,4
3055,1
30649,1
24650,13
19844,17
22704,42
9149,2
5776,2
3446,4
33937,10
13622,46
22029,5
35184,1
17103,2
19219,2
10442,54
21061,65
6035,2
21421,0
12582,27
11126,27
11471,0
20036,55
2912,1
31485,2
27269,32
23082,0
16959,1
25305,5
20984,14
13902,53
24347,19
21477,0
6230,7
5316,0
22230,3
25858,190
10977,26
5451,2
6585,0
4182,2
32330,1
22686,21
35124,52
18379,3
8912,6
30902,3
7442,1
10456,304
25497,30
36066,8
20861,6
20761,18
1165,0
11347,16
7026,4
19956,161
5391,1537
5199,4
15,8
27731,10
31271,2
3786,1
1906,2
29039,12
14692,947
29285,1
13668,358
31151,1
2961,94
18152,16
26711,4
1769,23
18858,1
25769,22
16315,2
13430,5
20766,15
13481,174
13911,36
15561,0
8508,3
25101,0
22914,31
24269,19
34328,20
5982,3
3021,3
18159,2
30961,0
18192,0
21167,32
30037,1
1766,0
16569,16
4986,5
35378,24
580,1
4420,3
19392,108
19794,235
25727,0
22781,5
14585,8
20842,0
36444,10
34060,1
34283,17
18407,1
30175,64
35442,9
20855,54
11191,5
19218,15
5032,1
16411,3
15786,0
9509,41
31561,1
1497,7
36133,11
36328,8
28777,2
11208,2
25111,26
14179,0
12425,6
475,271
18623,2
25466,335
12646,2
3934,3
5904,10
8003,5
29496,1
10550,4
14934,0
1377,11
7637,3
1392,0
24311,15
33641,0
1322,26
19536,29
17569,1
8791,9
34689,4
21112,3
12392,0
11041,27
32708,1
12934,47
33509,121
4607,4
33744,50
3669,6
34709,57
2195,18
11649,1
21385,0
11255,4
435,0
9696,62
25647,3
5592,0
31724,1
16168,0
17120,2
18231,4
25241,6
36416,51
16286,1
10993,6
30528,0
31285,0
22382,238
10816,98
35704,5
6028,3
23678,96
12752,13
8644,0
12098,15
13699,74
744,10
27954,163
18633,3
385,37
32901,10
33789,1
2349,10
20545,3
34278,0
30631,1
17571,1
11833,9
31373,0
3238,0
29073,2
3544,2
20420,10
19122,66
26467,57
25717,31
5150,4
18939,0
9731,36
5298,48
35417,0
2876,1
2325,6
30402,3
9555,3
29038,20
15471,2
20494,5
34472,6
16517,1
14543,4
32082,1
19167,0
20743,159
1709,46
20715,13
20132,319
30460,8
27528,0
7756,6
14842,2
18942,7
17530,2
9102,6
35819,880
24805,17
11004,18
7280,0
17548,6
18400,1
17748,0
4176,62
34227,8
21832,168
14794,3
17264,2
26817,3
28894,1
33309,13
11511,3
4570,1
6735,1
12106,5
2567,18
8226,3
34461,0
20908,254
23142,13
36159,4
29207,1
26647,16
22367,4
21609,79
26392,56
23624,134
28898,2
16044,1
31350,2
4767,1
9872,2
31735,0
6955,5
24352,67
20708,0
17872,3
19279,27
14493,2
5591,43
13904,1
12801,16
31990,1
36487,3
34318,13
18547,0
1183,5
13529,15
20898,40
21224,7
7914,5
29891,0
21219,57
27281,20
24278,76
26429,5
26797,5
10479,63
21368,5
36152,3
5266,5
11971,0
2763,1548
15371,0
22981,0
28045,5
15404,0
21957,16
14496,88
7817,15
9933,6
18558,2
2085,1
33822,12
5664,0
23354,61
15001,0
32529,2
34610,13
13591,10
1711,2
10462,0
25986,3
27367,132
16455,2
12716,3
18549,6
31449,2
13225,0
7028,16
31854,1
12747,7
24855,12
33125,1
4331,14
6887,33
14872,1
28665,26
29860,2
35989,100
12624,48
19906,247
2224,43
33888,1
9446,2
673,14
13998,10
17903,85
11613,1
7675,0
30816,1
18177,3
15847,1
12432,0
8463,3
23498,39
6196,1
30073,2
20673,57
1523,6
11017,7
36463,1
9838,2
8898,5
332,1
1578,0
22441,194
26131,3
4354,5
17190,4
9058,0
36448,4
9978,0
1376,7
12811,4
10188,4
28986,3
25198,37
27804,493
10420,0
12558,11
2751,11
1201,1
27649,263
12883,1
28000,5
1556,2
32829,3
10433,25
3724,4
6664,1
1202,0
17757,5
14861,1661
10851,58
26182,37
9125,12
26170,14
33103,2
19683,35
16798,2
1767,124
23882,145
14919,43
15334,4
16685,2
12010,8
5654,1
19005,27
8738,10
12908,269
13602,12
5417,18
31896,0
25914,13
23931,25
35116,2
18900,1
19046,25
7106,4
17991,2
9655,2
27998,16
806,5
968,4
24661,8
9578,1
32931,51
3954,10
30464,2
355,9
5093,45
13605,0
33134,1
29728,1
29740,4
5573,6
28931,3
3354,11
32214,0
19678,0
23799,6
1336,9
19078,3183
22473,5
29553,1
106,15
28680,0
20946,318
14760,36
34722,6
22521,5
3247,9
27780,22
15253,2
3236,3
3623,4
34395,3
31800,1
11483,91
11053,113
16127,0
7666,10
24600,1
32017,1
31634,3
33976,29
11949,43
24510,26
27440,56
25388,39
3070,12
16442,1
22008,18
5116,1
25591,8
28866,0
13686,1
22932,121
27032,0
23397,16
22142,3
27491,12
11308,3
28315,0
18065,2
34582,4
31209,1
18002,1
21494,0
25288,16
20159,491
27620,10
9170,4
21337,55
25666,54
25676,13
33438,5
18011,2
28032,565
20613,401
27141,6
35831,2
4491,4
21435,13
21635,82
4889,28
4541,1
3477,7
1933,7
23340,3
13734,5
28197,28
5124,0
30760,1
11591,181
1500,5
22348,7
1558,14
32103,4
25848,8
28091,16
21889,0
1974,3
34245,1
21244,44
28329,26
8844,0
8072,2
35006,4
35119,1
7857,12
33613,7
13901,0
34401,4
9055,19
25635,0
23013,9
879,1
11342,974
34109,11
5718,5
33400,6
26503,13
13183,7
23393,143
22882,6
3651,1
11099,145
32840,36
9502,2
20828,8
17369,0
20571,26
18980,7
2794,6
3932,3
4775,2
17566,4
6104,5
2851,30
24551,6
33519,7
29031,40
4427,2
29183,8
14102,175
16349,1
6017,7
33596,10
28019,4
20550,3
9449,13
35951,28
20588,30
9724,25
23002,7
33910,45
22853,160
7811,1
26917,14
29242,0
34510,283
2736,11
34839,5
23739,33
7631,2
27877,26
13410,208
16016,0
19199,16
15143,1
10887,0
16029,4
20923,6
29678,0
29163,6
34809,1
14951,0
5619,2
32678,8
4053,1
9061,3
29141,1
19023,22
22520,7
18461,13
33525,60
24355,32
30830,1
8939,0
20165,22
25284,16
24987,14
1195,29
12338,8
23379,169
22976,1
18777,2
13040,0
35035,122
19693,201
22421,6
208,4
32785,1
135,78
15088,0
27137,11
24829,17
22046,35
21965,8
16745,2
5745,20
8327,0
14022,11
24711,5
19258,717
10494,3
1248,0
27819,1
29228,0
13721,20
33716,8
27622,8
22346,0
3975,38
28229,12
21003,0
21153,109
9297,0
24022,126
9708,22
23021,455
6001,27
32935,4
25155,1
25957,1
19225,450
3254,3
1395,1
4844,13
22124,42
18425,1
7680,2
27983,6
23698,6
32921,316
24279,6
28767,0
26928,8
1365,18
27785,70
12190,108
17275,1
33938,11
17934,7
28046,0
6147,9
5206,8
28120,14
29915,0
21500,54
9199,4
14201,16
27533,0
11605,134
16605,1
6721,8
35614,1225
8607,9
3226,0
35352,0
17132,3
28600,0
2449,3
18312,0
27661,10
21033,123
26087,20
21332,0
30968,5
32224,1
21490,12
22864,34
36056,4
30114,2
32947,396
13693,214
36175,5
7381,1
1008,74
21647,32
20170,33
22087,162
35730,4
4748,5
33666,2
35241,530
26082,12
12876,0
13818,4
13571,11
7919,2
13908,18
34652,8
27524,12
7155,0
19481,0
21111,4432
25286,13
16002,31
17533,1
9438,9
36483,16
35210,5
1604,6
33710,3
34748,36
28699,1
15173,1
9802,0
8562,13
23567,0
29007,1
15082,1
7496,11
24803,31
29182,0
33740,6
27485,44
20187,39
560,0
27519,4
22349,8
14837,53
16761,99
21002,75
27868,46
18992,3
11169,1026
3166,501
12293,2
34894,0
22702,3
31386,1
16321,0
30226,1
2533,3
31442,3
32533,1
15695,5
7372,7
30138,2
24037,9
20378,0
28423,49
26586,25
22257,9
3260,6
28745,0
7893,0
11956,14
32379,1
34989,2
4175,18
1610,25
35699,11
11375,51
20973,5
7889,2
11911,10
23869,11
22544,5
28783,3
21576,27
33486,50
18604,1
10463,6
27980,2
10663,9
32022,2
13575,11
31214,2
18541,2
2418,522
3177,7
26827,0
26404,151
21417,29
10812,3
15844,4
22927,1885
5085,6
10397,10
10168,14
11670,3
12721,3
8850,14
35947,42
15959,2
33445,1
1031,1
31222,107
31000,2
6598,1
4242,11
32130,0
16399,5
8462,3
19175,10
9958,8
146,8
5782,4
36375,2
5109,3
16958,1
11007,48
25997,31
31107,2885
27671,10
12185,3
34783,15
7885,10
13807,42
17371,1
20193,38
22989,229
34194,24
15399,2
28420,25
27497,0
2995,2
11159,35
16209,1
21938,6
22080,0
6584,1
4867,3
5040,0
15660,70
8478,13
23565,40
34737,3
12257,25
25408,10
10029,16
28655,6
34150,6
23477,25
31757,0
29162,17
19713,74
32626,169
5445,7
12129,22
27835,11
13718,0
3326,4
17659,3
31818,0
33742,3
21419,2452
16225,7
16028,2
30282,11
17505,6
20976,176
14586,10
16819,2
24678,32
29979,0
25067,10
20225,74
24356,4
9496,3
27450,39
13900,0
31464,1
1121,38
25423,10
10525,0
28562,62
6914,2
3441,2
16369,1
7276,3
10682,11
23103,16
28260,52
22339,28
25715,3
2233,36
35034,17
11632,15
30496,0
8511,26
17898,1
21059,13
25193,9
18529,5
10568,9
2250,4
2336,9
3692,3
32707,0
3859,5
3275,3
13082,6
27341,0
31810,2
14241,62
16288,0
3414,37
1946,4
20546,1
7731,4
3393,7
19200,10
10071,6
32153,0
20881,2
8569,1
13809,5
597,1
6961,0
20939,18
29218,1
21355,3
4496,66
23819,8
2214,6
27084,61
24776,94
13156,198
25343,13
5536,1
20310,501
21750,3
14509,39
2399,3
7385,1
10340,20
30133,2
14021,0
30164,1
12119,31
9419,0
1198,10
17831,17
34760,2
20801,48
33171,14
2817,10
216,9
16322,6
16187,2
14129,3
7545,0
3689,2
23361,187
13288,30
31397,1
25424,819
36400,14
3902,9
10902,19
11555,2
17715,1
20953,20
14936,0
4944,0
32684,6
3716,1
8736,0
12599,8
6522,0
18846,6
9394,3
3961,1
27351,2
29767,1
5793,9
21828,4
33124,1
6724,1
8093,0
8115,19
23573,296
8305,4
29933,0
2190,41
384,15
32776,13
28925,1
16787,15
19588,394
20282,1
32447,0
19541,0
11774,16
626,37
22596,44
29799,2
3774,7
20611,9
5837,0
11755,0
9027,1
2482,38
9124,1
15934,4
36202,3
5027,21
25147,4
25137,225
32261,4
15642,2
9470,6
27432,685
16599,1
23820,9
31955,0
21806,13
184,17
12194,10
611,1
3130,4
261,8
29965,1
32555,7
8399,2
17071,1
20386,67
10597,22
19531,25
2313,52
23011,85
4836,4
16180,4
26274,8
21185,344
11110,0
19301,100
25554,23
27792,3
16576,0
6600,1
1393,1
20822,31
2289,10
17554,32
2161,2
35873,20
31152,0
35414,7
27625,13
21039,18
1161,2
29855,2
30794,0
5425,1
12232,0
32300,1
13560,2063
35744,0
28168,2
8134,1
16355,13
8633,2
31317,1
5589,82
28821,1
16858,1
915,32
29715,1
17628,8
4885,127
34411,1
34886,5
34980,7
26266,3
7499,27
2096,2
5680,1
24450,229
14812,29
35837,1
18673,1
7791,0
22332,699
24996,11
31189,1
20011,1525
11838,1
22179,12
15638,1
8038,0
10378,0
12103,25
8956,1
3121,4
15243,4
19307,4
2018,8
35081,4
14488,4
27947,14
9106,1
20236,101
16779,1
25703,1
3703,13
6699,16
26221,1
24189,72
7304,4
15179,17
2732,11
35737,9
26530,11
12904,4
18451,2
1012,42
34724,5
7286,0
1340,16
19772,165
27556,1
29364,0
27454,19
25398,0
16852,34
28973,0
33836,7
29265,1
24976,28
7163,8
4296,5
29448,0
6945,0
35935,11
12224,34
14925,0
20166,76
17350,10
14287,478
17098,2
9926,139
1367,3
14067,155
27702,39
31139,2
30495,0
35282,0
33972,7
24963,17
6478,0
5804,2
29548,4
5053,7
1081,2
26551,7
21437,38
27604,11
35230,12
11924,0
4711,14
28958,0
25927,11
14215,6
34075,48
3239,4
15637,1
24676,13
31336,0
8446,3
15550,1
18554,1
35315,1
19734,3
598,1
21292,10
32151,1
11105,8
27376,25
20835,13071
5195,0
7542,234
18970,2
12474,0
9294,9
2914,15
11101,525
7070,3
9401,22
28863,0
16561,15
24463,33
4018,25
27864,8
22851,196
19796,26
28367,5745
13855,14
28924,0
14272,2
12815,4
30353,0
24400,389
3415,9
27935,8
19221,287
30791,0
34898,4
34973,1
26401,12
16111,1
18249,12
12731,0
22211,19
11710,0
2499,119
27706,10
22075,101
28305,13
5907,4
22386,16
327,2
23472,7
19832,108
26651,1
19383,132
17774,3
6943,3
4288,6
34658,46
34080,7
17908,1
21884,21
24952,147
8980,0
18882,1
22617,4
32044,11
4205,59
34810,10
36160,28
5933,7
2238,1
28749,1
24718,11
33342,0
28681,1
26016,2
16099,1
12077,0
9143,84
26211,4
9171,3
24576,149
386,45
13604,42
14427,48
13579,150
17964,3
32552,23
26200,5275
1915,10
28963,0
17022,5
34327,2
5853,3
30403,1
31157,1
33783,0
6866,18
25279,1224
28441,3
7125,1
28085,177
18911,1
35681,12
2966,1
16609,2
24806,21
18470,2
26898,13
36101,5
23419,35
3304,4
481,27
28257,0
20466,24
20525,1
22224,0
14084,11
16334,1
34686,27
27498,101
10084,186
24523,83
22384,0
5764,3
30389,17
22294,27
14281,0
6835,1
11348,2
11067,0
35295,183
5681,1
8055,8
27035,18
6096,8
11373,14
23569,180
26627,6
32556,29
30443,2
5318,0
17694,2
7836,8
25573,743
12778,9
31968,2
7934,3
9087,9
3202,5
8790,1
25510,1
23620,21
7650,15
28628,0
17016,1
7294,16
29477,1
23570,16
36500,0
35986,4
7727,28
11400,3
23770,17
13769,869
25973,10
25394,1774
12773,1
12459,60
7777,5
10706,11
578,12
10126,0
8171,3
11709,11
26740,3
15071,6
22,1
11407,28
14499,3
8794,2
8138,13
33664,9
21022,11
3361,0
1565,489
32578,3
25909,8
18605,1
7497,6
7575,4
